engine,engine_version,model_id,preprocessing,image_id,group_id,timestamp_seconds,tags,line_count,ground_truth,normalized_ground_truth,raw_output,normalized_output,edit_distance,reference_characters,exact_match,whitespace_free_edit_distance,whitespace_free_reference_characters,confidence,preprocessing_ms,inference_ms,total_ms,error
paddleocr,3.7.0,korean_PP-OCRv5_mobile_rec,raw,g01_f01,g01,9.983333,short|one_line|light_background|moving_background,1,바로 빙결다리서폿인데,바로 빙결다리서폿인데,→바로빙결다리서인데의,→바로빙결다리서인데의,4,11,False,3,10,0.8311325311660767,2.5067999958992004,13.721399998757988,16.229299995757174,
paddleocr,3.7.0,korean_PP-OCRv5_mobile_rec,raw,g01_f02,g01,10.0,short|one_line|light_background|moving_background,1,바로 빙결다리서폿인데,바로 빙결다리서폿인데,바로빙결다리서인데의,바로빙결다리서인데의,3,11,False,2,10,0.8856072425842285,2.7170000030309893,25.067300004593562,27.78540000144858,
paddleocr,3.7.0,korean_PP-OCRv5_mobile_rec,raw,g01_f03,g01,10.016667,short|one_line|light_background|moving_background,1,바로 빙결다리서폿인데,바로 빙결다리서폿인데,바로빙결다리서인데의,바로빙결다리서인데의,3,11,False,2,10,0.8906992077827454,2.672400005394593,17.39390000147978,20.06739999342244,
paddleocr,3.7.0,korean_PP-OCRv5_mobile_rec,raw,g02_f01,g02,19.983333,short|one_line|light_background|moving_background|latin,1,1렙 e를 예상 못하는데,1렙 e를 예상 못하는데,1럽e를 예상 못하는데,1럽e를 예상 못하는데,2,13,False,1,10,0.9195987582206726,2.46760000300128,18.712999997660518,21.181700001761783,
paddleocr,3.7.0,korean_PP-OCRv5_mobile_rec,raw,g02_f02,g02,20.0,short|one_line|light_background|moving_background|latin,1,1렙 e를 예상 못하는데,1렙 e를 예상 못하는데,1럽e를 예상 못하는데,1럽e를 예상 못하는데,2,13,False,1,10,0.9203433990478516,2.649900001415517,40.22879999683937,42.88009999436326,
paddleocr,3.7.0,korean_PP-OCRv5_mobile_rec,raw,g02_f03,g02,20.016667,short|one_line|light_background|moving_background|latin,1,1렙 e를 예상 못하는데,1렙 e를 예상 못하는데,1럽e를 예상 못하는데,1럽e를 예상 못하는데,2,13,False,1,10,0.9197867512702942,2.6075999994645827,33.82179999607615,36.43050000391668,
paddleocr,3.7.0,korean_PP-OCRv5_mobile_rec,raw,g03_f01,g03,93.983333,long|one_line|light_background|moving_background|jamo,1,선요우무도 ㄱㅊ긴한데 상대조합 따라 딴딴해야할거같으면 블클 갑니다,선요우무도 ㄱㅊ긴한데 상대조합 따라 딴딴해야할거같으면 블클 갑니다,선요우무도 ㄱ츠긴한데 상대조합 따라 딴딴해야할거같으면블클같니다,선요우무도 ㄱ츠긴한데 상대조합 따라 딴딴해야할거같으면블클같니다,4,36,False,2,30,0.9152293801307678,3.1108000039239414,31.611699996574316,34.72380000312114,
paddleocr,3.7.0,korean_PP-OCRv5_mobile_rec,raw,g03_f02,g03,94.0,long|one_line|light_background|moving_background|jamo,1,선요우무도 ㄱㅊ긴한데 상대조합 따라 딴딴해야할거같으면 블클 갑니다,선요우무도 ㄱㅊ긴한데 상대조합 따라 딴딴해야할거같으면 블클 갑니다,선요우무도 ㄱ츠긴한데 상대조합 따라 딴딴해야할거같으면블클같니다,선요우무도 ㄱ츠긴한데 상대조합 따라 딴딴해야할거같으면블클같니다,4,36,False,2,30,0.9213355779647827,2.716599999985192,34.285799993085675,37.00360000220826,
paddleocr,3.7.0,korean_PP-OCRv5_mobile_rec,raw,g03_f03,g03,94.016667,long|one_line|light_background|moving_background|jamo,1,선요우무도 ㄱㅊ긴한데 상대조합 따라 딴딴해야할거같으면 블클 갑니다,선요우무도 ㄱㅊ긴한데 상대조합 따라 딴딴해야할거같으면 블클 갑니다,선요우무도 ㄱ츠긴한데 상대조합 따라 딴딴해야할거같으면블클같니다,선요우무도 ㄱ츠긴한데 상대조합 따라 딴딴해야할거같으면블클같니다,4,36,False,2,30,0.9236365556716919,2.7441000056569465,39.00559999601683,41.75100000429666,
paddleocr,3.7.0,korean_PP-OCRv5_mobile_rec,raw,g04_f01,g04,129.983333,medium|one_line|dark_background|combat_background|jamo,1,빙결마공점이 ㄹㅇ 로밍 영향력이 지림,빙결마공점이 ㄹㅇ 로밍 영향력이 지림,빙결마공점이로밍 영향력이 지림었이,빙결마공점이로밍 영향력이 지림었이,6,20,False,4,16,0.8594173192977905,2.7241999996476807,14.732800002093427,17.458299997088034,
paddleocr,3.7.0,korean_PP-OCRv5_mobile_rec,raw,g04_f02,g04,130.0,medium|one_line|dark_background|combat_background|jamo,1,빙결마공점이 ㄹㅇ 로밍 영향력이 지림,빙결마공점이 ㄹㅇ 로밍 영향력이 지림,빙결마공점이르로밍 영향력이 지림었이,빙결마공점이르로밍 영향력이 지림었이,6,20,False,4,16,0.8240081667900085,2.4873000002116896,12.29849999799626,14.786699997785036,
paddleocr,3.7.0,korean_PP-OCRv5_mobile_rec,raw,g04_f03,g04,130.016667,medium|one_line|dark_background|combat_background|jamo,1,빙결마공점이 ㄹㅇ 로밍 영향력이 지림,빙결마공점이 ㄹㅇ 로밍 영향력이 지림,빙결마공점이로밍 영향력이 지림었,빙결마공점이로밍 영향력이 지림었,5,20,False,3,16,0.8788509368896484,2.502199997252319,13.701800002309028,16.20520000142278,
paddleocr,3.7.0,korean_PP-OCRv5_mobile_rec,raw,g05_f01,g05,219.983333,short|one_line|light_background|combat_background,1,달려잇,달려잇,달려잇,달려잇,0,3,True,0,3,0.7721388936042786,2.505700002075173,17.67670000117505,20.183500004350208,
paddleocr,3.7.0,korean_PP-OCRv5_mobile_rec,raw,g05_f02,g05,220.0,short|one_line|light_background|combat_background,1,달려잇,달려잇,달려잇,달려잇,0,3,True,0,3,0.7697855830192566,2.4563000042689964,14.448100002482533,16.905399999814108,
paddleocr,3.7.0,korean_PP-OCRv5_mobile_rec,raw,g05_f03,g05,220.016667,short|one_line|light_background|combat_background,1,달려잇,달려잇,달려잇,달려잇,0,3,True,0,3,0.8271597027778625,2.42650000291178,14.559700000972953,16.98709999618586,
paddleocr,3.7.0,korean_PP-OCRv5_mobile_rec,raw,g06_f01,g06,249.983333,medium|one_line|light_background|moving_background,1,플 빼고 다음 턴에 잡으면 되죠,플 빼고 다음 턴에 잡으면 되죠,플빼고다음턴에잡으면되죠,플빼고다음턴에잡으면되죠,5,17,False,0,12,0.9706093668937683,2.562900001066737,18.59390000026906,21.15780000167433,
paddleocr,3.7.0,korean_PP-OCRv5_mobile_rec,raw,g06_f02,g06,250.0,medium|one_line|light_background|moving_background,1,플 빼고 다음 턴에 잡으면 되죠,플 빼고 다음 턴에 잡으면 되죠,플빼고다음턴에잡으면되죠,플빼고다음턴에잡으면되죠,5,17,False,0,12,0.9696812033653259,7.17909999366384,12.425399996573105,19.605699999374337,
paddleocr,3.7.0,korean_PP-OCRv5_mobile_rec,raw,g06_f03,g06,250.016667,medium|one_line|light_background|moving_background,1,플 빼고 다음 턴에 잡으면 되죠,플 빼고 다음 턴에 잡으면 되죠,플빼고다음턴에잡으면되죠,플빼고다음턴에잡으면되죠,5,17,False,0,12,0.9699952006340027,2.4686999968253076,13.564900000346825,16.034599997510668,
paddleocr,3.7.0,korean_PP-OCRv5_mobile_rec,raw,g07_f01,g07,353.983333,medium|one_line|dark_background|moving_background,1,여기서 디테일이 좀 있는데,여기서 디테일이 좀 있는데,여기서디테일이좀있는데→,여기서디테일이좀있는데→,4,14,False,1,11,0.8818777203559875,2.8938000032212585,12.12919999670703,15.024300002551172,
paddleocr,3.7.0,korean_PP-OCRv5_mobile_rec,raw,g07_f02,g07,354.0,medium|one_line|dark_background|moving_background,1,여기서 디테일이 좀 있는데,여기서 디테일이 좀 있는데,여기서디테일이좀있는데,여기서디테일이좀있는데,3,14,False,0,11,0.9355252981185913,2.3643000022275373,17.334600001049694,19.700099997862708,
paddleocr,3.7.0,korean_PP-OCRv5_mobile_rec,raw,g07_f03,g07,354.016667,medium|one_line|dark_background|moving_background,1,여기서 디테일이 좀 있는데,여기서 디테일이 좀 있는데,여기서디테일이좀있는데,여기서디테일이좀있는데,3,14,False,0,11,0.9356563091278076,2.3867999989306554,13.5974000004353,15.985099998943042,
paddleocr,3.7.0,korean_PP-OCRv5_mobile_rec,raw,g08_f01,g08,419.983333,medium|one_line|dark_background|combat_background,1,방마저스탯으로 다재다능도 완성시켜줌,방마저스탯으로 다재다능도 완성시켜줌,방마저스탯으로다재다능도 완성시켜즘,방마저스탯으로다재다능도 완성시켜즘,2,19,False,1,17,0.8911792039871216,2.9607999967993237,19.874200006597675,22.836099997221027,
paddleocr,3.7.0,korean_PP-OCRv5_mobile_rec,raw,g08_f02,g08,420.0,medium|one_line|dark_background|combat_background,1,방마저스탯으로 다재다능도 완성시켜줌,방마저스탯으로 다재다능도 완성시켜줌,방마저스탯으로다재다능도 완성시켜즘,방마저스탯으로다재다능도 완성시켜즘,2,19,False,1,17,0.8987586498260498,2.473400003509596,21.616899997752625,24.091400002362207,
paddleocr,3.7.0,korean_PP-OCRv5_mobile_rec,raw,g08_f03,g08,420.016667,medium|one_line|dark_background|combat_background,1,방마저스탯으로 다재다능도 완성시켜줌,방마저스탯으로 다재다능도 완성시켜줌,방마저스탯으로다재다능도 완성시켜즘,방마저스탯으로다재다능도 완성시켜즘,2,19,False,1,17,0.892435610294342,2.491599996574223,14.40329999604728,16.896100001758896,
