video_id,sample_id,subtitle_id,line_role,color,subtitle_ko,reference_status,display_start_seconds,display_end_seconds,audio_start_seconds,audio_end_seconds,asr_raw_text,asr_source_timed_segments,classification,candidate_category,discrepancy,confirmation_status,evidence
QK95uTvf7ks,g01,g01_f02,speech,white,바로 빙결다리서폿인데,verified,9.75,13.5,7.75,15.5, 한 발씩 쌓아야 돼.,13.110-15.350 한 발씩 쌓아야 돼.,unresolved,,asr_error_or_time_difference,unconfirmed_no_audio_input,The only ASR segment is 13.110-15.350s in source time and says '한 발씩 쌓아야 돼.'; it overlaps only the display tail and differs from the subtitle.
QK95uTvf7ks,g02,g02_f02,speech,white,1렙 e를 예상 못하는데,verified,18.0,21.5,16.0,23.5, 다음 영상에서 만나요.,21.600-23.480 다음 영상에서 만나요.,unresolved,,asr_error_or_time_difference,unconfirmed_no_audio_input,"ASR starts at 21.600s, 0.100s after the last observed subtitle frame, and returns the unrelated repeated phrase '다음 영상에서 만나요.'"
QK95uTvf7ks,g03,g03_f02,speech,white,선요우무도 ㄱㅊ긴한데 상대조합 따라 딴딴해야할거같으면 블클 갑니다,verified,92.75,96.75,90.75,98.75, 아.. 멈추지 않는다 흠 흠 흠,90.750-92.430 아.. 멈추지 않는다 | 92.430-93.770 흠 | 94.750-95.350 흠 | 95.350-96.250 흠,unresolved,,asr_error_or_unintelligible,unconfirmed_no_audio_input,ASR returns '아.. 멈추지 않는다' before the subtitle and only '흠' during its display; it does not support a content comparison.
QK95uTvf7ks,g04,g04_f02,speech,white,빙결마공점이 ㄹㅇ 로밍 영향력이 지림,verified,129.75,132.75,127.75,134.75, 다음 영상에서 만나요.,127.750-132.990 다음 영상에서 만나요.,unresolved,,asr_error_or_unintelligible,unconfirmed_no_audio_input,ASR returns the unrelated repeated phrase '다음 영상에서 만나요.' across 127.750-132.990s.
QK95uTvf7ks,g05,g05_f02,speech,white,달려잇,verified,218.25,221.0,216.25,223.0, 다음 영상에서 만나요!,218.450-221.290 다음 영상에서 만나요!,unresolved,,asr_error_or_unintelligible,unconfirmed_no_audio_input,ASR returns the unrelated repeated phrase '다음 영상에서 만나요!' during the display window.
QK95uTvf7ks,g06,g06_f02,speech,white,플 빼고 다음 턴에 잡으면 되죠,verified,247.25,250.0,245.25,252.0, 다음 영상에서 만나요!,245.250-250.450 다음 영상에서 만나요!,unresolved,,asr_error_or_unintelligible,unconfirmed_no_audio_input,ASR returns the unrelated repeated phrase '다음 영상에서 만나요!' across 245.250-250.450s.
QK95uTvf7ks,g07,g07_f02,speech,white,여기서 디테일이 좀 있는데,verified,353.5,355.75,351.5,357.75, 다음 영상에서 만나요.,351.500-357.340 다음 영상에서 만나요.,unresolved,,asr_error_or_unintelligible,unconfirmed_no_audio_input,ASR returns the unrelated repeated phrase '다음 영상에서 만나요.' across 351.500-357.340s.
QK95uTvf7ks,g08,g08_f02,speech,white,방마저스탯으로 다재다능도 완성시켜줌,verified,419.5,422.75,417.5,424.75, 다음 영상에서 만나요.,417.500-424.520 다음 영상에서 만나요.,unresolved,,asr_error_or_unintelligible,unconfirmed_no_audio_input,ASR returns the unrelated repeated phrase '다음 영상에서 만나요.' across 417.500-424.520s.
Ns8VQexyJes,t15,t15_annotation_f02,annotation,yellow,카이사 전적 검색 중,ai_visual_transcription_provisional,368.25,370.75,366.25,372.75, 탈론이 문젠가? 탈론하는 친구야? 잠깐만 상특씨구나 저거 챔프 포기,368.030-369.210 탈론이 문젠가? | 369.250-370.190 탈론하는 친구야? | 370.330-371.750 잠깐만 상특씨구나 저거 | 371.750-372.430 챔프 포기,unresolved,unspoken_supplement,subtitle_supplement_candidate,unconfirmed_no_audio_input,The yellow line is visually annotated as an editor note and no matching ASR words occur while adjacent white speech is recognized. Absence from ASR alone is not counted as proof that it was not read aloud.
Ns8VQexyJes,t15,t15_speech_f02,speech,white,탈론 하는 친구네,ai_visual_transcription_provisional,369.25,370.5,366.25,372.75, 탈론이 문젠가? 탈론하는 친구야? 잠깐만 상특씨구나 저거 챔프 포기,368.030-369.210 탈론이 문젠가? | 369.250-370.190 탈론하는 친구야? | 370.330-371.750 잠깐만 상특씨구나 저거 | 371.750-372.430 챔프 포기,unresolved,near_verbatim,asr_error_or_subtitle_wording_difference,unconfirmed_no_audio_input,"ASR says '탈론하는 친구야?' at 369.250-370.190s while the white subtitle says '탈론 하는 친구네' and is observed at 369.250-370.500s. Stem and timing align, but the ending differs and was not auditioned."
